"Year" "Month" "County" "Count"
2006 12 "Los Angeles" 258
2006 1 "Orange" 114
2006 2 "Orange" 72
2006 3 "Orange" 89
2006 4 "Orange" 84
2006 5 "Orange" 71
2006 6 "Orange" 57
2006 7 "Orange" 66
2006 8 "Orange" 73
2006 9 "Orange" 58
2006 10 "Orange" 70
2006 11 "Orange" 64
2006 12 "Orange" 74
2006 1 "Riverside" 106
2006 2 "Riverside" 99
2006 3 "Riverside" 71
2006 4 "Riverside" 60
2006 5 "Riverside" 83
2006 6 "Riverside" 52
2006 7 "Riverside" 69
2006 8 "Riverside" 45
2006 9 "Riverside" 63
2006 10 "Riverside" 57
2006 11 "Riverside" 79
2006 12 "Riverside" 69
2006 1 "Sacramento" 77
2006 2 "Sacramento" 51
2006 3 "Sacramento" 64
2006 4 "Sacramento" 64
2006 5 "Sacramento" 43
2006 6 "Sacramento" 41
2006 7 "Sacramento" 41
2006 8 "Sacramento" 40
2006 9 "Sacramento" 46
2006 10 "Sacramento" 48
2006 11 "Sacramento" 50
2006 12 "Sacramento" 45
2006 1 "San Bernardino" 84
2006 2 "San Bernardino" 88
2006 3 "San Bernardino" 80
2006 4 "San Bernardino" 68
2006 5 "San Bernardino" 78
2006 6 "San Bernardino" 55
2006 7 "San Bernardino" 78
2006 8 "San Bernardino" 75
2006 9 "San Bernardino" 48
2006 10 "San Bernardino" 73
2006 11 "San Bernardino" 65
2006 12 "San Bernardino" 68
2006 1 "San Diego" 100
2006 2 "San Diego" 118
2006 3 "San Diego" 89
2006 4 "San Diego" 109
2006 5 "San Diego" 92
2006 6 "San Diego" 90
2006 7 "San Diego" 83
2006 8 "San Diego" 82
2006 9 "San Diego" 71
2006 10 "San Diego" 88
2006 11 "San Diego" 74
2006 12 "San Diego" 76
2006 1 "Santa Clara" 47
2006 2 "Santa Clara" 33
2006 3 "Santa Clara" 37
2006 4 "Santa Clara" 38
2006 5 "Santa Clara" 45
2006 6 "Santa Clara" 23
2006 7 "Santa Clara" 34
